,product_name,product_image,product_spec,product_price
0,한국타이어 아이온 윈터 SUV IW01A 사일런트 235/55R19,https://img.danawa.com/prod_img/500000/543/164/img/13164543_1.jpg?shrink=330:*&_v=20221004084749,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 저소음, 알파인, 단면폭: 235mm, 편평비: 55%, 휠지름: 19인치, 추천차종 기아 EV6, 테슬라 모델Y",163000
1,한국타이어 아이온 에보 AS SUV IH01A 255/45R20,https://img.danawa.com/prod_img/500000/359/144/img/13144359_1.jpg?shrink=330:*&_v=20220929091143,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 255mm, 편평비: 45%, 휠지름: 20인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",208380
2,한국타이어 아이온 에보 AS SUV IH01A 사일런트 235/55R19,https://img.danawa.com/prod_img/500000/691/462/img/28462691_1.jpg?shrink=330:*&_v=20230925125708,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 235mm, 편평비: 55%, 휠지름: 19인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",154720
3,한국타이어 아이온 에보 AS SUV IH01A 235/55R19,https://img.danawa.com/prod_img/500000/247/968/img/17968247_1.jpg?shrink=330:*&_v=20221011161423,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 235mm, 편평비: 55%, 휠지름: 19인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",163200
4,한국타이어 아이온 윈터 SUV IW01A 255/45R19,https://img.danawa.com/prod_img/500000/321/336/img/29336321_1.jpg?shrink=330:*&_v=20231025111432,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 255mm, 편평비: 45%, 휠지름: 19인치, 추천차종 기아 EV6, 테슬라 모델Y",188000
5,한국타이어 아이온 윈터 SUV IW01A 255/45R20,https://img.danawa.com/prod_img/500000/446/144/img/13144446_1.jpg?shrink=330:*&_v=20231103162249,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 255mm, 편평비: 45%, 휠지름: 20인치, 추천차종 기아 EV6, 테슬라 모델Y",207740
6,한국타이어 아이온 윈터 IW01 225/55R18,https://img.danawa.com/prod_img/500000/347/622/img/29622347_1.jpg?shrink=330:*&_v=20231031141928,"타이어, 승용차용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 225mm, 편평비: 55%, 휠지름: 18인치",145750
7,한국타이어 아이온 윈터 SUV IW01A 275/35R21,https://img.danawa.com/prod_img/500000/533/337/img/29337533_1.jpg?shrink=330:*&_v=20231025125925,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 275mm, 편평비: 35%, 휠지름: 21인치, 추천차종 기아 EV6, 테슬라 모델Y",277540
8,한국타이어 아이온 윈터 SUV IW01A 235/55R19,https://img.danawa.com/prod_img/500000/443/318/img/18318443_1.jpg?shrink=330:*&_v=20221118081815,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 235mm, 편평비: 55%, 휠지름: 19인치, 추천차종 기아 EV6, 테슬라 모델Y",159690
9,한국타이어 아이온 에보 AS IH01 사일런트 235/45R18,https://img.danawa.com/prod_img/500000/770/461/img/28461770_1.jpg?shrink=330:*&_v=20230925104138,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 235mm, 편평비: 45%, 휠지름: 18인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 넥쏘, 테슬라 모델S, 테슬라 모델3",178870
